T,1.45,1.3,1.15,1,0.85,0.6,0.45,0.3,0.15
0.025,-0.001418 ,-0.049514,-0.827989,-1.09776,-1.249953,-1.171289,-0.956847,-0.666552,-0.339956
0.05,-0.027315,-0.208513,-1.073296,-1.264299,-1.319897,-1.161554,-0.936139,-0.654178,-0.33393
0.075,-0.065213 ,-0.320559,-1.102854,-1.242208,-1.249659,-1.045476,-0.83794,-0.577271,-0.298222
0.1,-0.091436,-0.398437,-1.071698,-1.161864,-1.144456,-0.930633,-0.726709,-0.506389,-0.248088
0.125,-0.113745,-0.447933,-1.01304,-1.079426,-1.026558,-0.825562,-0.647931,-0.442941,-0.224954
0.15,-0.13034,-0.48154,-0.955409,-0.962844,-0.93536,-0.734404,-0.575262,-0.383743,-0.185666
0.175,-0.149034,-0.510579,-0.866776,-0.892005,-0.844363,-0.661428,-0.512059,-0.350749,-0.175747
0.2,-0.1554,-0.529638,-0.802581,-0.813198,-0.767609,-0.596549,-0.461659,-0.304921,-0.160595
0.225,-0.166886,-0.532233,-0.74446,-0.743337,-0.6874,-0.53888,-0.413983,-0.283002,-0.139944
0.25,-0.192012,-0.523725,-0.680952,-0.686463,-0.634629,-0.497868,-0.37934,-0.260961,-0.129394
0.275,-0.191231,-0.508695,-0.632613,-0.627417,-0.578653,-0.448931,-0.347032,-0.234204,-0.109857
0.3,-0.216405,-0.495835,-0.576117,-0.568808,-0.535115,-0.404102,-0.312025,-0.209972,-0.101524
0.325,-0.223681,-0.450786,-0.513624,-0.515515,-0.484021,-0.373111,-0.28647,-0.193641,-0.089764
0.35,-0.229675,-0.417266,-0.473674,-0.485918,-0.436217,-0.341434,-0.265375,-0.182367,-0.082368
0.375, -0.232892,-0.378285,-0.426069,-0.428017,-0.404919,-0.310581,-0.238017,-0.160838,-0.077285
0.4,-0.222256,-0.336577,-0.378543,-0.39002,-0.364683,-0.279508,-0.211226,-0.142163,-0.074676
0.425,-0.215578,-0.295096,-0.339694,-0.345932,-0.322389,-0.254215,-0.19605,-0.137243,-0.067865
0.45,-0.200866,-0.26326,-0.293541,-0.297554,-0.282774,-0.233843,-0.185157,-0.124198,-0.053748
0.475,-0.183342,-0.226439,-0.251352,-0.263125,-0.251208,-0.203923,-0.155983,-0.106679,-0.051993
0.5,-0.14635,-0.188524,-0.21809,-0.224855,-0.231686,-0.180442,-0.142451,-0.09888,-0.055594